Day,Price,DEX ONE Reserve,DEX USDC Reserve,DEX TVL (USD),LP APY (fees+emissions),Save Utilization,Save Supply (USD),Save Borrow Balance (USD),Save APY (supply+emissions),Save Emissions USD/day,Depth to +1% (USDC),ONE idle (outside LP)
14,94605.05132674656,67.55074245735302,6390641.45733772,12499193.140658533,27.375,0.43105241330004473,2000000.0,882333.9027161314,3.9716071618770656,0.0,38343.84874402632,10.311850528848652
15,95010.71136401866,68.74271028900219,6531293.805648743,12781282.91467544,27.375,0.4411669513580657,2000000.0,902573.8553888348,4.160179462995932,0.0,39187.76283389246,8.97265831306045
16,95409.52144881089,69.92500546062692,6671511.308303903,13062587.611297484,27.375,0.4512869276944174,2000000.0,922824.9429258171,4.353230172430642,0.0,40029.06784982342,7.643760751485338
17,95801.7638522944,71.09735264266408,6811251.788395803,13343022.616607806,27.375,0.46141247146290854,2000000.0,943087.4241887478,4.550768896059763,0.0,40867.51073037482,6.32541769534302
18,96187.70589324574,72.2594754269519,6950473.170367867,13622503.576791607,27.375,0.4715437120943739,2000000.0,963361.5586067946,4.752805472886481,0.0,41702.839022207205,5.01789080924943
19,96567.60101965554,73.41109625028804,7089133.453113346,13900946.340735734,27.375000000000004,0.4816807793033973,2000000.0,983647.6061901306,4.959349976088263,0.0,42534.800718680075,3.7214436012883536
20,96941.68979649596,74.5519363226805,7227190.684721413,14178266.906226693,27.375000000000004,0.4918238030950653,2000000.0,1003945.8275435029,5.170412714092849,0.0,43363.14410832848,2.4363414521440796
21,97310.12657250024,75.69697919207451,7366082.626336687,14454381.369442826,27.375,0.5019729137717515,2000000.0,1024256.4838798651,5.10253032475017,0.0,44196.49575802013,1.147587956330869
22,97673.74439329449,76.70139608300553,7491712.555620321,14732165.252673376,27.375,0.5121282419399326,2000000.0,1044579.837034075,5.311075557897843,0.0,44950.27533372193,0.0
23,98038.04031137902,76.55875751679176,7505670.555620322,14983425.111240644,27.375,0.5222899185170375,2000000.0,1064916.1494766586,5.523931869436806,0.0,45034.02333372193,0.0
24,98403.01432675384,76.41664848447517,7519628.555620322,15011341.111240644,27.375,0.5324580747383293,2000000.0,1085265.684327643,5.741109927419476,0.0,45117.77133372193,0.0
25,98768.66643941896,76.27506604274288,7533586.555620323,15039257.111240644,27.375,0.5426328421638215,2000000.0,1105628.7053704583,5.962620628244431,0.0,45201.51933372194,0.0
26,99134.99664937434,76.13400727005478,7547544.555620323,15067173.111240646,27.375,0.5528143526852292,2000000.0,1126005.4770659122,6.1884750978294765,0.0,45285.26733372193,0.0
27,99502.00495662003,75.99346926644259,7561502.555620322,15095089.111240644,27.375,0.5630027385329561,2000000.0,1146396.2645662355,6.418684692811065,0.0,45369.01533372192,0.0
28,99869.69136115602,75.85344915331112,7575460.555620323,15123005.111240644,27.375,0.5731981322831178,2000000.0,1166801.3337292047,6.653261001770305,0.0,45452.76333372194,0.0
29,100238.05586298229,75.71394407324173,7589418.555620322,15150921.111240644,27.375,0.5834006668646023,2000000.0,1187220.9511323394,6.892215846485769,0.0,45536.51133372193,0.0
30,100607.09846209887,75.57495118979799,7603376.555620322,15178837.111240644,27.375,0.5936104755661697,2000000.0,1207655.3840871775,7.135561283213357,0.0,45620.25933372194,0.0
31,100976.81915850575,75.43646768733335,7617334.555620322,15206753.111240644,27.375,0.6038276920435888,2000000.0,1228104.9006536307,7.383309603993412,0.0,45704.00733372193,0.0
32,101347.21795220293,75.29849077080112,7631292.555620322,15234669.111240644,27.375000000000004,0.6140524503268153,2000000.0,1248569.7696544214,7.635473337985411,0.0,45787.75533372193,0.0
33,101718.2948431904,75.16101766556638,7645250.555620323,15262585.111240644,27.375,0.6242848848272107,2000000.0,1269050.2606896013,7.892065252830404,0.0,45871.50333372194,0.0
34,102090.04983146815,75.02404561721993,7659208.555620322,15290501.111240644,27.375,0.6345251303448006,2000000.0,1289546.6441511563,8.153098356041495,0.0,45955.251333721935,0.0
35,102462.48291703622,74.88757189139442,7673166.555620322,15318417.111240644,27.375,0.6447733220755781,2000000.0,1310059.1912376964,8.41858589642264,0.0,46038.999333721935,0.0
36,102835.59409989457,74.75159377358236,7687124.555620322,15346333.111240644,27.375,0.6550295956188482,2000000.0,1330588.1739692348,8.688541365515984,0.0,46122.747333721934,0.0
37,103209.38338004322,74.61610856895614,7701082.555620322,15374249.111240644,27.375,0.6652940869846174,2000000.0,1351133.8652020553,8.962978499078087,0.0,46206.49533372193,0.0
38,103583.85075748217,74.48111360218998,7715040.555620322,15402165.111240644,27.375,0.6755669326010276,2000000.0,1371696.538643674,9.241911278585217,0.0,46290.243333721926,0.0
39,103958.9962322114,74.3466062172839,7728998.555620322,15430081.111240644,27.375,0.685848269321837,2000000.0,1392276.4688678912,9.52535393276812,0.0,46373.99133372193,0.0
40,104334.81980423094,74.21258377738947,7742956.555620322,15457997.111240644,27.375,0.6961382344339456,2000000.0,1412873.9313299416,9.813320939176423,0.0,46457.73933372193,0.0
41,104711.32147354077,74.07904366463751,7756914.555620322,15485913.111240644,27.375,0.7064369656649708,2000000.0,1433489.2023817392,10.105827025773104,0.0,46541.48733372193,0.0
42,105088.50124014089,73.94598327996769,7770872.555620322,15513829.111240644,27.375,0.7167446011908696,2000000.0,1454122.559287222,10.402887172559238,0.0,46625.23533372193,0.0
43,105466.3591040313,73.81340004295984,7784830.555620322,15541745.111240644,27.375,0.727061279643611,2000000.0,1474774.2802377993,10.704516613229353,0.0,46708.98333372193,0.0
44,105844.89506521203,73.68129139166717,7798788.555620322,15569661.111240644,27.375,0.7373871401188996,2000000.0,1495444.6443678972,11.010730836857775,0.0,46792.73133372194,0.0
45,106224.10912368303,73.5496547824513,7812746.555620322,15597577.111240644,27.375,0.7477223221839486,2000000.0,1516133.9317706136,11.321545589616171,0.0,46876.47933372194,0.0
46,106604.00127944433,73.4184876898189,7826704.555620322,15625493.111240644,27.375,0.7580669658853069,2000000.0,1536842.4235134765,11.636976876522736,0.0,46960.22733372193,0.0
47,106984.57153249593,73.28778760626028,7840662.555620322,15653409.111240644,27.375,0.7684212117567383,2000000.0,1557570.401654312,11.957040963223301,0.0,47043.97533372194,0.0
48,107365.81988283782,73.15755204208956,7854620.555620322,15681325.111240644,27.375,0.778785200827156,2000000.0,1578318.1492572224,12.28175437780472,0.0,47127.72333372193,0.0
49,107747.74633047,73.02777852528656,7868578.555620322,15709241.111240644,27.375,0.7891590746286112,2000000.0,1599085.9504086769,12.611133912640893,0.0,47211.47133372193,0.0
50,108130.3508753925,72.89846460134045,7882536.555620322,15737157.111240644,27.375,0.7995429752043385,2000000.0,1619874.0902337162,12.945196626271757,0.0,47295.219333721936,0.0
51,108513.63351760527,72.76960783309494,7896494.555620322,15765073.111240644,27.375,0.809937045116858,2000000.0,1640963.9969868744,15.912638596109138,0.0,47378.967333721936,0.0
52,108897.59425710833,72.64120580059522,7910452.555620322,15792989.111240644,27.375,0.8204819984934372,2000000.0,1662380.985987999,20.688039416419908,0.0,47462.715333721935,0.0
53,109282.23309390171,72.5132561009364,7924410.555620322,15820905.111240644,27.375,0.8311904929939995,2000000.0,1684138.3606782916,25.657670478273175,0.0,47546.463333721935,0.0
54,109668.65479841924,72.17862558008059,7915732.772566211,15848821.111240644,27.375,0.8420691803391458,2000000.0,1706250.023745792,30.83028078550607,0.0,47494.39663539727,0.20713141023263407
55,110061.17002910383,71.76791365973017,7898860.5479376055,15831465.545132423,27.375,0.8446782295771248,2020000.0,1728669.9079214132,32.08941481590933,0.0,47393.16328762563,0.48952572504876457
56,110460.31707237625,71.2804049829001,7873656.135458532,15797721.095875211,27.375,0.8473041407319936,2040200.0,1751403.0421619853,33.36394462538188,0.0,47241.936812751184,0.847898875803418
57,110866.67115953182,70.7154291211551,7839984.226280282,15747312.270917064,27.375,0.8499472688864639,2060602.0,1774454.558104032,34.65418431495384,0.0,47039.905357681695,1.2829225278246552
58,111280.8493720404,70.07236378492034,7797712.159492539,15679968.452560565,27.375,0.852607976257958,2081208.02,1797829.692764301,35.960456389101815,0.0,46786.27295695524,1.7952209216096966
59,111703.5162242798,69.3506380416855,7746710.121653572,15595424.318985078,27.375,0.8552866324129077,2102020.1002,1821533.7913293303,37.28309202799774,0.0,46480.260729921436,2.3853677122646086
60,112135.39005351899,68.54973552569875,7686851.331239797,15493420.243307143,27.375,0.857983614488163,2123040.301202,1845572.3100375724,38.62243137036066,0.0,46121.10798743879,3.0538828244113896
