Day,Price,DEX ONE Reserve,DEX USDC Reserve,DEX TVL (USD),LP APY (fees+emissions),Save Utilization,Save Supply (USD),Save Borrow Balance (USD),Save APY (supply+emissions),Save Emissions USD/day,Depth to +1% (USDC),ONE idle (outside LP)
25,225427.3046961215,3.3632423435162067,758166.6565387256,1480887.4006290343,27.375,0.4505996728562177,2539469.2970638294,1169996.5717097311,148.0707996480117,10000.0,4548.999939232354,73.42547158637092
26,236197.56393244647,3.285668274492173,776066.8423251761,1516333.3130774512,27.375,0.45616320251508086,2564863.9900344675,1195974.2105448528,146.75555488551893,10000.0,4656.401053951057,73.42547158637092
27,247330.6252952603,3.210868160873524,794146.0299694912,1552133.6846503522,27.375,0.46167472674122734,2590512.6299348124,1222219.7039402,145.45469676526832,10000.0,4764.876179816947,73.42547158637092
28,258835.24430646378,3.138699336201494,812406.0094902494,1588292.0599389824,27.375,0.4671347689137206,2616417.7562341606,1248735.8316306686,144.1680594752286,10000.0,4874.436056941498,73.42547158637092
29,270720.3671059394,3.0690287461123456,830848.5888062152,1624812.018980499,27.375,0.4725438464784533,2642581.933796502,1275525.400413704,142.8954792956272,10000.0,4985.091532837291,73.42547158637092
30,282995.134429293,3.001732152139118,849475.5939153406,1661697.1776124304,27.375,0.47790247102719524,2669007.753134467,1302591.2444290516,141.63679456863375,10000.0,5096.853563492043,73.42547158637092
31,295668.8856670106,2.93669341336594,868288.8690755573,1698951.1878306812,27.375,0.4832111483753815,2695697.830665812,1329936.2254411727,86.2314726701073,6000.0,5209.733214453344,73.42547158637092
32,308751.16300668253,2.873803837196143,887290.2769873762,1736577.7381511147,27.375,0.488470378638668,2722654.80897247,1357563.2331243535,85.53634329097369,6000.0,5323.741661924257,73.42547158637092
33,322251.71565997886,2.812961591598723,906481.6989783132,1774580.5539747523,27.375,0.4936806563082748,2749881.3570621945,1385475.1853505357,84.84932714727071,6000.0,5438.890193869879,73.42547158637092
34,336180.5041760944,2.7540711721468036,925865.0351891597,1812963.3979566265,27.375000000000004,0.49884247032514095,2777380.1706328164,1413675.0284798986,84.17032310361454,6000.0,5555.190211134957,73.42547158637092
